date,Toothache,isPartial,state,symptom
2008-07-01,0,False,IA,Hypoventilation
2008-08-01,27,False,IA,Hypoventilation
2008-09-01,0,False,IA,Hypoventilation
2008-10-01,0,False,IA,Hypoventilation
2008-11-01,23,False,IA,Hypoventilation
2008-12-01,0,False,IA,Hypoventilation
2009-01-01,23,False,IA,Hypoventilation
2009-02-01,0,False,IA,Hypoventilation
2009-03-01,0,False,IA,Hypoventilation
2009-04-01,0,False,IA,Hypoventilation
2009-05-01,0,False,IA,Hypoventilation
2009-06-01,0,False,IA,Hypoventilation
2009-07-01,0,False,IA,Hypoventilation
2009-08-01,0,False,IA,Hypoventilation
2009-09-01,24,False,IA,Hypoventilation
2009-10-01,0,False,IA,Hypoventilation
2009-11-01,0,False,IA,Hypoventilation
2009-12-01,0,False,IA,Hypoventilation
2010-01-01,0,False,IA,Hypoventilation
2010-02-01,23,False,IA,Hypoventilation
2010-03-01,0,False,IA,Hypoventilation
2010-04-01,21,False,IA,Hypoventilation
2010-05-01,0,False,IA,Hypoventilation
2010-06-01,0,False,IA,Hypoventilation
2010-07-01,0,False,IA,Hypoventilation
2010-08-01,0,False,IA,Hypoventilation
2010-09-01,44,False,IA,Hypoventilation
2010-10-01,0,False,IA,Hypoventilation
2010-11-01,0,False,IA,Hypoventilation
2010-12-01,0,False,IA,Hypoventilation
2011-01-01,8,False,IA,Hypoventilation
2011-02-01,0,False,IA,Hypoventilation
2011-03-01,0,False,IA,Hypoventilation
2011-04-01,8,False,IA,Hypoventilation
2011-05-01,16,False,IA,Hypoventilation
2011-06-01,0,False,IA,Hypoventilation
2011-07-01,0,False,IA,Hypoventilation
2011-08-01,12,False,IA,Hypoventilation
2011-09-01,7,False,IA,Hypoventilation
2011-10-01,7,False,IA,Hypoventilation
2011-11-01,7,False,IA,Hypoventilation
2011-12-01,8,False,IA,Hypoventilation
2012-01-01,0,False,IA,Hypoventilation
2012-02-01,7,False,IA,Hypoventilation
2012-03-01,7,False,IA,Hypoventilation
2012-04-01,7,False,IA,Hypoventilation
2012-05-01,8,False,IA,Hypoventilation
2012-06-01,0,False,IA,Hypoventilation
2012-07-01,0,False,IA,Hypoventilation
2012-08-01,0,False,IA,Hypoventilation
2012-09-01,0,False,IA,Hypoventilation
2012-10-01,7,False,IA,Hypoventilation
2012-11-01,0,False,IA,Hypoventilation
2012-12-01,0,False,IA,Hypoventilation
2013-01-01,0,False,IA,Hypoventilation
2013-02-01,6,False,IA,Hypoventilation
2013-03-01,6,False,IA,Hypoventilation
2013-04-01,6,False,IA,Hypoventilation
2013-05-01,0,False,IA,Hypoventilation
2013-06-01,7,False,IA,Hypoventilation
2013-07-01,6,False,IA,Hypoventilation
2013-08-01,0,False,IA,Hypoventilation
2013-09-01,6,False,IA,Hypoventilation
2013-10-01,0,False,IA,Hypoventilation
2013-11-01,6,False,IA,Hypoventilation
2013-12-01,13,False,IA,Hypoventilation
2014-01-01,0,False,IA,Hypoventilation
2014-02-01,0,False,IA,Hypoventilation
2014-03-01,4,False,IA,Hypoventilation
2014-04-01,8,False,IA,Hypoventilation
2014-05-01,9,False,IA,Hypoventilation
2014-06-01,0,False,IA,Hypoventilation
2014-07-01,0,False,IA,Hypoventilation
2014-08-01,7,False,IA,Hypoventilation
2014-09-01,0,False,IA,Hypoventilation
2014-10-01,6,False,IA,Hypoventilation
2014-11-01,0,False,IA,Hypoventilation
2014-12-01,6,False,IA,Hypoventilation
2015-01-01,0,False,IA,Hypoventilation
2015-02-01,0,False,IA,Hypoventilation
2015-03-01,6,False,IA,Hypoventilation
2015-04-01,6,False,IA,Hypoventilation
2015-05-01,0,False,IA,Hypoventilation
2015-06-01,0,False,IA,Hypoventilation
2015-07-01,12,False,IA,Hypoventilation
2015-08-01,6,False,IA,Hypoventilation
2015-09-01,0,False,IA,Hypoventilation
2015-10-01,5,False,IA,Hypoventilation
2015-11-01,0,False,IA,Hypoventilation
2015-12-01,10,False,IA,Hypoventilation
2016-01-01,0,False,IA,Hypoventilation
2016-02-01,0,False,IA,Hypoventilation
2016-03-01,4,False,IA,Hypoventilation
2016-04-01,9,False,IA,Hypoventilation
2016-05-01,0,False,IA,Hypoventilation
2016-06-01,10,False,IA,Hypoventilation
2016-07-01,5,False,IA,Hypoventilation
2016-08-01,5,False,IA,Hypoventilation
2016-09-01,6,False,IA,Hypoventilation
2016-10-01,6,False,IA,Hypoventilation
2016-11-01,4,False,IA,Hypoventilation
2016-12-01,0,False,IA,Hypoventilation
2017-01-01,0,False,IA,Hypoventilation
2017-02-01,8,False,IA,Hypoventilation
2017-03-01,0,False,IA,Hypoventilation
2017-04-01,6,False,IA,Hypoventilation
2017-05-01,4,False,IA,Hypoventilation
2017-06-01,0,False,IA,Hypoventilation
2017-07-01,9,False,IA,Hypoventilation
2017-08-01,8,False,IA,Hypoventilation
2017-09-01,0,False,IA,Hypoventilation
2017-10-01,4,False,IA,Hypoventilation
2017-11-01,4,False,IA,Hypoventilation
2017-12-01,8,False,IA,Hypoventilation
2018-01-01,4,False,IA,Hypoventilation
2018-02-01,0,False,IA,Hypoventilation
2018-03-01,0,False,IA,Hypoventilation
2018-04-01,7,False,IA,Hypoventilation
2018-05-01,6,False,IA,Hypoventilation
2018-06-01,0,False,IA,Hypoventilation
2018-07-01,8,False,IA,Hypoventilation
2018-08-01,0,False,IA,Hypoventilation
2018-09-01,10,True,IA,Hypoventilation
date,Hypoventilation,isPartial,state,symptom
2004-01-01,0,False,KS,Hypoventilation
2004-02-01,0,False,KS,Hypoventilation
2004-03-01,0,False,KS,Hypoventilation
2004-04-01,0,False,KS,Hypoventilation
2004-05-01,0,False,KS,Hypoventilation
2004-06-01,0,False,KS,Hypoventilation
2004-07-01,0,False,KS,Hypoventilation
2004-08-01,0,False,KS,Hypoventilation
2004-09-01,0,False,KS,Hypoventilation
2004-10-01,0,False,KS,Hypoventilation
2004-11-01,100,False,KS,Hypoventilation
2004-12-01,0,False,KS,Hypoventilation
2005-01-01,0,False,KS,Hypoventilation
2005-02-01,0,False,KS,Hypoventilation
2005-03-01,0,False,KS,Hypoventilation
2005-04-01,0,False,KS,Hypoventilation
2005-05-01,0,False,KS,Hypoventilation
2005-06-01,0,False,KS,Hypoventilation
2005-07-01,0,False,KS,Hypoventilation
2005-08-01,0,False,KS,Hypoventilation
2005-09-01,0,False,KS,Hypoventilation
2005-10-01,0,False,KS,Hypoventilation
2005-11-01,0,False,KS,Hypoventilation
2005-12-01,0,False,KS,Hypoventilation
2006-01-01,0,False,KS,Hypoventilation
2006-02-01,0,False,KS,Hypoventilation
2006-03-01,0,False,KS,Hypoventilation
2006-04-01,0,False,KS,Hypoventilation
2006-05-01,0,False,KS,Hypoventilation
2006-06-01,0,False,KS,Hypoventilation
2006-07-01,52,False,KS,Hypoventilation
2006-08-01,0,False,KS,Hypoventilation
2006-09-01,0,False,KS,Hypoventilation
2006-10-01,0,False,KS,Hypoventilation
2006-11-01,0,False,KS,Hypoventilation
2006-12-01,0,False,KS,Hypoventilation
2007-01-01,0,False,KS,Hypoventilation
2007-02-01,0,False,KS,Hypoventilation
2007-03-01,0,False,KS,Hypoventilation
2007-04-01,0,False,KS,Hypoventilation
2007-05-01,34,False,KS,Hypoventilation
2007-06-01,0,False,KS,Hypoventilation
2007-07-01,0,False,KS,Hypoventilation
2007-08-01,0,False,KS,Hypoventilation
2007-09-01,0,False,KS,Hypoventilation
2007-10-01,0,False,KS,Hypoventilation
2007-11-01,29,False,KS,Hypoventilation
2007-12-01,0,False,KS,Hypoventilation
2008-01-01,0,False,KS,Hypoventilation
2008-02-01,0,False,KS,Hypoventilation
2008-03-01,0,False,KS,Hypoventilation
2008-04-01,26,False,KS,Hypoventilation
2008-05-01,0,False,KS,Hypoventilation
2008-06-01,31,False,KS,Hypoventilation
2008-07-01,0,False,KS,Hypoventilation
2008-08-01,0,False,KS,Hypoventilation
2008-09-01,26,False,KS,Hypoventilation
2008-10-01,24,False,KS,Hypoventilation
2008-11-01,0,False,KS,Hypoventilation
2008-12-01,25,False,KS,Hypoventilation
2009-01-01,0,False,KS,Hypoventilation
2009-02-01,0,False,KS,Hypoventilation
2009-03-01,0,False,KS,Hypoventilation
2009-04-01,0,False,KS,Hypoventilation
2009-05-01,24,False,KS,Hypoventilation
2009-06-01,0,False,KS,Hypoventilation
2009-07-01,26,False,KS,Hypoventilation
2009-08-01,0,False,KS,Hypoventilation
2009-09-01,0,False,KS,Hypoventilation
2009-10-01,0,False,KS,Hypoventilation
2009-11-01,0,False,KS,Hypoventilation
2009-12-01,0,False,KS,Hypoventilation
2010-01-01,20,False,KS,Hypoventilation
2010-02-01,21,False,KS,Hypoventilation
2010-03-01,0,False,KS,Hypoventilation
2010-04-01,0,False,KS,Hypoventilation
2010-05-01,0,False,KS,Hypoventilation
2010-06-01,0,False,KS,Hypoventilation
2010-07-01,0,False,KS,Hypoventilation
2010-08-01,0,False,KS,Hypoventilation
2010-09-01,0,False,KS,Hypoventilation
2010-10-01,39,False,KS,Hypoventilation
2010-11-01,19,False,KS,Hypoventilation
2010-12-01,20,False,KS,Hypoventilation
2011-01-01,0,False,KS,Hypoventilation
2011-02-01,0,False,KS,Hypoventilation
2011-03-01,0,False,KS,Hypoventilation
2011-04-01,12,False,KS,Hypoventilation
2011-05-01,12,False,KS,Hypoventilation
2011-06-01,13,False,KS,Hypoventilation
2011-07-01,25,False,KS,Hypoventilation
2011-08-01,0,False,KS,Hypoventilation
2011-09-01,11,False,KS,Hypoventilation
2011-10-01,11,False,KS,Hypoventilation
2011-11-01,0,False,KS,Hypoventilation
2011-12-01,10,False,KS,Hypoventilation
2012-01-01,0,False,KS,Hypoventilation
2012-02-01,9,False,KS,Hypoventilation
2012-03-01,10,False,KS,Hypoventilation
2012-04-01,0,False,KS,Hypoventilation
2012-05-01,0,False,KS,Hypoventilation
2012-06-01,11,False,KS,Hypoventilation
2012-07-01,0,False,KS,Hypoventilation
2012-08-01,0,False,KS,Hypoventilation
2012-09-01,0,False,KS,Hypoventilation
2012-10-01,14,False,KS,Hypoventilation
2012-11-01,9,False,KS,Hypoventilation
2012-12-01,0,False,KS,Hypoventilation
2013-01-01,0,False,KS,Hypoventilation
2013-02-01,8,False,KS,Hypoventilation
2013-03-01,7,False,KS,Hypoventilation
2013-04-01,11,False,KS,Hypoventilation
2013-05-01,0,False,KS,Hypoventilation
2013-06-01,17,False,KS,Hypoventilation
2013-07-01,0,False,KS,Hypoventilation
2013-08-01,0,False,KS,Hypoventilation
2013-09-01,0,False,KS,Hypoventilation
2013-10-01,6,False,KS,Hypoventilation
2013-11-01,7,False,KS,Hypoventilation
2013-12-01,0,False,KS,Hypoventilation
2014-01-01,5,False,KS,Hypoventilation
2014-02-01,0,False,KS,Hypoventilation
2014-03-01,5,False,KS,Hypoventilation
2014-04-01,5,False,KS,Hypoventilation
2014-05-01,5,False,KS,Hypoventilation
2014-06-01,0,False,KS,Hypoventilation
2014-07-01,6,False,KS,Hypoventilation
2014-08-01,6,False,KS,Hypoventilation
2014-09-01,5,False,KS,Hypoventilation
2014-10-01,0,False,KS,Hypoventilation
2014-11-01,13,False,KS,Hypoventilation
2014-12-01,13,False,KS,Hypoventilation
2015-01-01,0,False,KS,Hypoventilation
2015-02-01,7,False,KS,Hypoventilation
2015-03-01,7,False,KS,Hypoventilation
2015-04-01,10,False,KS,Hypoventilation
2015-05-01,7,False,KS,Hypoventilation
2015-06-01,0,False,KS,Hypoventilation
2015-07-01,9,False,KS,Hypoventilation
2015-08-01,0,False,KS,Hypoventilation
2015-09-01,8,False,KS,Hypoventilation
2015-10-01,0,False,KS,Hypoventilation
2015-11-01,5,False,KS,Hypoventilation
2015-12-01,3,False,KS,Hypoventilation
2016-01-01,0,False,KS,Hypoventilation
2016-02-01,6,False,KS,Hypoventilation
2016-03-01,0,False,KS,Hypoventilation
2016-04-01,6,False,KS,Hypoventilation
2016-05-01,0,False,KS,Hypoventilation
2016-06-01,13,False,KS,Hypoventilation
2016-07-01,7,False,KS,Hypoventilation
2016-08-01,0,False,KS,Hypoventilation
2016-09-01,8,False,KS,Hypoventilation
2016-10-01,5,False,KS,Hypoventilation
2016-11-01,6,False,KS,Hypoventilation
2016-12-01,5,False,KS,Hypoventilation
2017-01-01,5,False,KS,Hypoventilation
2017-02-01,5,False,KS,Hypoventilation
2017-03-01,5,False,KS,Hypoventilation
2017-04-01,10,False,KS,Hypoventilation
2017-05-01,5,False,KS,Hypoventilation
2017-06-01,0,False,KS,Hypoventilation
2017-07-01,0,False,KS,Hypoventilation
2017-08-01,4,False,KS,Hypoventilation
2017-09-01,8,False,KS,Hypoventilation
2017-10-01,8,False,KS,Hypoventilation
2017-11-01,7,False,KS,Hypoventilation
2017-12-01,6,False,KS,Hypoventilation
2018-01-01,0,False,KS,Hypoventilation
2018-02-01,5,False,KS,Hypoventilation
2018-03-01,5,False,KS,Hypoventilation
2018-04-01,8,False,KS,Hypoventilation
2018-05-01,0,False,KS,Hypoventilation
2018-06-01,9,False,KS,Hypoventilation
2018-07-01,12,False,KS,Hypoventilation
2018-08-01,5,False,KS,Hypoventilation
2018-09-01,27,True,KS,Hypoventilation
date,Hypoventilation,isPartial,state,symptom
2004-01-01,0,False,KY,Hypoventilation
2004-02-01,0,False,KY,Hypoventilation
2004-03-01,0,False,KY,Hypoventilation
2004-04-01,0,False,KY,Hypoventilation
2004-05-01,0,False,KY,Hypoventilation
2004-06-01,0,False,KY,Hypoventilation
2004-07-01,0,False,KY,Hypoventilation
2004-08-01,0,False,KY,Hypoventilation
2004-09-01,0,False,KY,Hypoventilation
2004-10-01,0,False,KY,Hypoventilation
2004-11-01,0,False,KY,Hypoventilation
2004-12-01,0,False,KY,Hypoventilation
2005-01-01,0,False,KY,Hypoventilation
2005-02-01,100,False,KY,Hypoventilation
2005-03-01,0,False,KY,Hypoventilation
2005-04-01,0,False,KY,Hypoventilation
2005-05-01,0,False,KY,Hypoventilation
2005-06-01,0,False,KY,Hypoventilation
2005-07-01,0,False,KY,Hypoventilation
2005-08-01,0,False,KY,Hypoventilation
2005-09-01,0,False,KY,Hypoventilation
2005-10-01,0,False,KY,Hypoventilation
2005-11-01,74,False,KY,Hypoventilation
2005-12-01,0,False,KY,Hypoventilation
2006-01-01,0,False,KY,Hypoventilation
2006-02-01,0,False,KY,Hypoventilation
2006-03-01,0,False,KY,Hypoventilation
2006-04-01,0,False,KY,Hypoventilation
2006-05-01,0,False,KY,Hypoventilation
2006-06-01,0,False,KY,Hypoventilation
2006-07-01,36,False,KY,Hypoventilation
2006-08-01,32,False,KY,Hypoventilation
2006-09-01,0,False,KY,Hypoventilation
2006-10-01,0,False,KY,Hypoventilation
2006-11-01,55,False,KY,Hypoventilation
2006-12-01,0,False,KY,Hypoventilation
2007-01-01,0,False,KY,Hypoventilation
2007-02-01,48,False,KY,Hypoventilation
2007-03-01,0,False,KY,Hypoventilation
2007-04-01,22,False,KY,Hypoventilation
2007-05-01,0,False,KY,Hypoventilation
2007-06-01,0,False,KY,Hypoventilation
2007-07-01,0,False,KY,Hypoventilation
2007-08-01,0,False,KY,Hypoventilation
2007-09-01,0,False,KY,Hypoventilation
2007-10-01,0,False,KY,Hypoventilation
2007-11-01,0,False,KY,Hypoventilation
2007-12-01,0,False,KY,Hypoventilation
2008-01-01,0,False,KY,Hypoventilation
2008-02-01,0,False,KY,Hypoventilation
2008-03-01,0,False,KY,Hypoventilation
2008-04-01,0,False,KY,Hypoventilation
2008-05-01,0,False,KY,Hypoventilation
2008-06-01,0,False,KY,Hypoventilation
2008-07-01,0,False,KY,Hypoventilation
2008-08-01,0,False,KY,Hypoventilation
2008-09-01,21,False,KY,Hypoventilation
2008-10-01,0,False,KY,Hypoventilation
2008-11-01,20,False,KY,Hypoventilation
2008-12-01,0,False,KY,Hypoventilation
2009-01-01,0,False,KY,Hypoventilation
2009-02-01,0,False,KY,Hypoventilation
2009-03-01,0,False,KY,Hypoventilation
2009-04-01,18,False,KY,Hypoventilation
2009-05-01,0,False,KY,Hypoventilation
2009-06-01,0,False,KY,Hypoventilation
2009-07-01,19,False,KY,Hypoventilation
2009-08-01,18,False,KY,Hypoventilation
2009-09-01,0,False,KY,Hypoventilation
2009-10-01,0,False,KY,Hypoventilation
2009-11-01,0,False,KY,Hypoventilation
2009-12-01,16,False,KY,Hypoventilation
2010-01-01,0,False,KY,Hypoventilation
2010-02-01,0,False,KY,Hypoventilation
2010-03-01,0,False,KY,Hypoventilation
2010-04-01,0,False,KY,Hypoventilation
2010-05-01,0,False,KY,Hypoventilation
2010-06-01,0,False,KY,Hypoventilation
2010-07-01,0,False,KY,Hypoventilation
2010-08-01,15,False,KY,Hypoventilation
2010-09-01,0,False,KY,Hypoventilation
2010-10-01,0,False,KY,Hypoventilation
2010-11-01,0,False,KY,Hypoventilation
2010-12-01,14,False,KY,Hypoventilation
2011-01-01,8,False,KY,Hypoventilation
2011-02-01,18,False,KY,Hypoventilation
2011-03-01,8,False,KY,Hypoventilation
2011-04-01,0,False,KY,Hypoventilation
2011-05-01,0,False,KY,Hypoventilation
2011-06-01,9,False,KY,Hypoventilation
2011-07-01,0,False,KY,Hypoventilation
2011-08-01,8,False,KY,Hypoventilation
2011-09-01,8,False,KY,Hypoventilation
2011-10-01,7,False,KY,Hypoventilation
2011-11-01,0,False,KY,Hypoventilation
2011-12-01,0,False,KY,Hypoventilation
2012-01-01,0,False,KY,Hypoventilation
2012-02-01,6,False,KY,Hypoventilation
2012-03-01,7,False,KY,Hypoventilation
2012-04-01,14,False,KY,Hypoventilation
2012-05-01,6,False,KY,Hypoventilation
2012-06-01,7,False,KY,Hypoventilation
2012-07-01,7,False,KY,Hypoventilation
2012-08-01,7,False,KY,Hypoventilation
2012-09-01,7,False,KY,Hypoventilation
2012-10-01,5,False,KY,Hypoventilation
2012-11-01,0,False,KY,Hypoventilation
2012-12-01,6,False,KY,Hypoventilation
2013-01-01,6,False,KY,Hypoventilation
2013-02-01,0,False,KY,Hypoventilation
2013-03-01,5,False,KY,Hypoventilation
2013-04-01,0,False,KY,Hypoventilation
2013-05-01,11,False,KY,Hypoventilation
2013-06-01,0,False,KY,Hypoventilation
2013-07-01,14,False,KY,Hypoventilation
2013-08-01,0,False,KY,Hypoventilation
2013-09-01,4,False,KY,Hypoventilation
2013-10-01,7,False,KY,Hypoventilation
2013-11-01,0,False,KY,Hypoventilation
2013-12-01,0,False,KY,Hypoventilation
2014-01-01,4,False,KY,Hypoventilation
2014-02-01,5,False,KY,Hypoventilation
2014-03-01,5,False,KY,Hypoventilation
2014-04-01,4,False,KY,Hypoventilation
2014-05-01,0,False,KY,Hypoventilation
2014-06-01,0,False,KY,Hypoventilation
2014-07-01,11,False,KY,Hypoventilation
2014-08-01,6,False,KY,Hypoventilation
2014-09-01,6,False,KY,Hypoventilation
2014-10-01,3,False,KY,Hypoventilation
2014-11-01,4,False,KY,Hypoventilation
2014-12-01,0,False,KY,Hypoventilation
2015-01-01,7,False,KY,Hypoventilation
2015-02-01,7,False,KY,Hypoventilation
2015-03-01,7,False,KY,Hypoventilation
2015-04-01,0,False,KY,Hypoventilation
2015-05-01,4,False,KY,Hypoventilation
2015-06-01,0,False,KY,Hypoventilation
2015-07-01,6,False,KY,Hypoventilation
2015-08-01,6,False,KY,Hypoventilation
2015-09-01,0,False,KY,Hypoventilation
2015-10-01,8,False,KY,Hypoventilation
2015-11-01,5,False,KY,Hypoventilation
2015-12-01,0,False,KY,Hypoventilation
2016-01-01,4,False,KY,Hypoventilation
2016-02-01,4,False,KY,Hypoventilation
2016-03-01,8,False,KY,Hypoventilation
2016-04-01,8,False,KY,Hypoventilation
2016-05-01,4,False,KY,Hypoventilation
2016-06-01,0,False,KY,Hypoventilation
2016-07-01,8,False,KY,Hypoventilation
2016-08-01,4,False,KY,Hypoventilation
2016-09-01,6,False,KY,Hypoventilation
2016-10-01,8,False,KY,Hypoventilation
2016-11-01,6,False,KY,Hypoventilation
2016-12-01,7,False,KY,Hypoventilation
2017-01-01,3,False,KY,Hypoventilation
2017-02-01,7,False,KY,Hypoventilation
2017-03-01,6,False,KY,Hypoventilation
2017-04-01,9,False,KY,Hypoventilation
2017-05-01,4,False,KY,Hypoventilation
2017-06-01,0,False,KY,Hypoventilation
2017-07-01,4,False,KY,Hypoventilation
2017-08-01,0,False,KY,Hypoventilation
2017-09-01,3,False,KY,Hypoventilation
2017-10-01,7,False,KY,Hypoventilation
2017-11-01,7,False,KY,Hypoventilation
2017-12-01,0,False,KY,Hypoventilation
2018-01-01,3,False,KY,Hypoventilation
2018-02-01,3,False,KY,Hypoventilation
2018-03-01,3,False,KY,Hypoventilation
2018-04-01,5,False,KY,Hypoventilation
2018-05-01,0,False,KY,Hypoventilation
2018-06-01,3,False,KY,Hypoventilation
2018-07-01,7,False,KY,Hypoventilation
2018-08-01,3,False,KY,Hypoventilation
2018-09-01,8,True,KY,Hypoventilation
date,Hypoventilation,isPartial,state,symptom
2004-01-01,0,False,LA,Hypoventilation
2004-02-01,0,False,LA,Hypoventilation
2004-03-01,0,False,LA,Hypoventilation
2004-04-01,0,False,LA,Hypoventilation
2004-05-01,0,False,LA,Hypoventilation
2004-06-01,0,False,LA,Hypoventilation
2004-07-01,0,False,LA,Hypoventilation
2004-08-01,0,False,LA,Hypoventilation
2004-09-01,0,False,LA,Hypoventilation
2004-10-01,0,False,LA,Hypoventilation
2004-11-01,0,False,LA,Hypoventilation
2004-12-01,0,False,LA,Hypoventilation
2005-01-01,0,False,LA,Hypoventilation
2005-02-01,0,False,LA,Hypoventilation
2005-03-01,0,False,LA,Hypoventilation
2005-04-01,0,False,LA,Hypoventilation
2005-05-01,0,False,LA,Hypoventilation
2005-06-01,0,False,LA,Hypoventilation
2005-07-01,0,False,LA,Hypoventilation
2005-08-01,0,False,LA,Hypoventilation
2005-09-01,0,False,LA,Hypoventilation
2005-10-01,0,False,LA,Hypoventilation
2005-11-01,0,False,LA,Hypoventilation
2005-12-01,0,False,LA,Hypoventilation
2006-01-01,0,False,LA,Hypoventilation
2006-02-01,100,False,LA,Hypoventilation
2006-03-01,0,False,LA,Hypoventilation
2006-04-01,0,False,LA,Hypoventilation
2006-05-01,0,False,LA,Hypoventilation
2006-06-01,0,False,LA,Hypoventilation
2006-07-01,0,False,LA,Hypoventilation
2006-08-01,40,False,LA,Hypoventilation
2006-09-01,0,False,LA,Hypoventilation
2006-10-01,0,False,LA,Hypoventilation
2006-11-01,0,False,LA,Hypoventilation
2006-12-01,0,False,LA,Hypoventilation
2007-01-01,30,False,LA,Hypoventilation
2007-02-01,0,False,LA,Hypoventilation
2007-03-01,0,False,LA,Hypoventilation
2007-04-01,0,False,LA,Hypoventilation
2007-05-01,26,False,LA,Hypoventilation
2007-06-01,0,False,LA,Hypoventilation
2007-07-01,0,False,LA,Hypoventilation
2007-08-01,25,False,LA,Hypoventilation
2007-09-01,0,False,LA,Hypoventilation
2007-10-01,0,False,LA,Hypoventilation
2007-11-01,22,False,LA,Hypoventilation
2007-12-01,0,False,LA,Hypoventilation
2008-01-01,0,False,LA,Hypoventilation
2008-02-01,22,False,LA,Hypoventilation
2008-03-01,0,False,LA,Hypoventilation
2008-04-01,20,False,LA,Hypoventilation
2008-05-01,0,False,LA,Hypoventilation
2008-06-01,0,False,LA,Hypoventilation
2008-07-01,0,False,LA,Hypoventilation
2008-08-01,0,False,LA,Hypoventilation
2008-09-01,0,False,LA,Hypoventilation
2008-10-01,0,False,LA,Hypoventilation
2008-11-01,0,False,LA,Hypoventilation
2008-12-01,0,False,LA,Hypoventilation
2009-01-01,18,False,LA,Hypoventilation
